[12:29:27.957] [INFO] [SYSTEM] === MobileMinerOng Log Session Started ===
[12:29:27.961] [INFO] [SYSTEM] MobileMinerOng initialized
[12:29:56.412] [INFO] [EVENT] Diagnostic run started
[12:29:56.415] [INFO] [BOT] State: RECOVERING
[12:29:56.419] [INFO] [POSITION] Player: (-84.21558464236365, 84.0, -105.04989377932621)
[12:29:56.421] [INFO] [ROTATION] Yaw: 144.24208 Pitch: 22.121994
[12:29:56.422] [INFO] [EVENT] Diagnostic run complete
[12:30:20.831] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=85, z=-107} | Feet: Air | FloorSolid: false
[12:30:20.849] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=85, z=-105} | Feet: Air | FloorSolid: false
[12:30:20.852] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.856] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-86, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.857] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=83, z=-107} | Feet: Light Gray Concrete | FloorSolid: true
[12:30:20.857] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=83, z=-105} | Feet: Black Concrete | FloorSolid: true
[12:30:20.858] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.858] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-86, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.861] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=85, z=-107} | Feet: Air | FloorSolid: false
[12:30:20.869] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=85, z=-105} | Feet: Air | FloorSolid: false
[12:30:20.871] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.872] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.873] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=83, z=-107} | Feet: Light Gray Concrete | FloorSolid: true
[12:30:20.875] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=83, z=-105} | Feet: Black Concrete | FloorSolid: true
[12:30:20.877] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.878] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-85, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.879] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-107} | Feet: Air | FloorSolid: false
[12:30:20.879] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-105} | Feet: Air | FloorSolid: false
[12:30:20.880] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.880] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=85, z=-106} | Feet: Air | FloorSolid: false
[12:30:20.881] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-107} | Feet: Light Gray Concrete | FloorSolid: true
[12:30:20.881] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-105} | Feet: Black Concrete | FloorSolid: true
[12:30:20.881] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.882] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=83, z=-106} | Feet: Gray Concrete | FloorSolid: true
[12:30:20.885] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-107} | Feet: Air | FloorSolid: false
[12:30:20.885] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-105} | Feet: Air | FloorSolid: false
