[14:13:17.751] [INFO] [SYSTEM] === MobileMinerOng Log Session Started ===
[14:13:17.756] [INFO] [SYSTEM] MobileMinerOng initialized
[14:14:33.365] [INFO] [EVENT] Diagnostic run started
[14:14:33.366] [INFO] [BOT] State: RECOVERING
[14:14:33.370] [INFO] [POSITION] Player: (-83.46405236442507, 84.0, -102.25442428460207)
[14:14:33.372] [INFO] [ROTATION] Yaw: 5.364811 Pitch: 49.98782
[14:14:33.373] [INFO] [EVENT] Diagnostic run complete
[14:14:49.799] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-103} | Feet: Air | FloorSolid: false
[14:14:49.801] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.805] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.808] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.809] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-103} | Feet: Black Concrete | FloorSolid: true
[14:14:49.809] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.810] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.811] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-84, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.812] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-103} | Feet: Air | FloorSolid: false
[14:14:49.814] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.815] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.816] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.818] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-103} | Feet: Black Concrete | FloorSolid: true
[14:14:49.818] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.819] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.820] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.820] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.820] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.821] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.821] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.821] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.822] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.822] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.822] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-83, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.823] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-102} | Feet: Air | FloorSolid: false
[14:14:49.823] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.823] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.824] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.824] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-102} | Feet: White Concrete | FloorSolid: true
[14:14:49.824] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.825] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-101} | Feet: Black Concrete | FloorSolid: true
[14:14:49.825] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.826] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.826] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.826] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.827] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.827] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-101} | Feet: White Concrete | FloorSolid: true
[14:14:49.827] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.827] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-100} | Feet: Black Concrete | FloorSolid: true
[14:14:49.828] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-82, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.828] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-101} | Feet: Air | FloorSolid: false
[14:14:49.828] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.829] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.829] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.829] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-101} | Feet: Black Concrete | FloorSolid: true
[14:14:49.829] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-99} | Feet: Black Concrete | FloorSolid: true
[14:14:49.830] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.830] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.830] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.831] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.831] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.831] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.831] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-100} | Feet: Black Concrete | FloorSolid: true
[14:14:49.832] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-98} | Feet: Black Concrete | FloorSolid: true
[14:14:49.832] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.832] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-81, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.833] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-100} | Feet: Air | FloorSolid: false
[14:14:49.833] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.834] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.834] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.834] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-100} | Feet: White Concrete | FloorSolid: true
[14:14:49.834] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-98} | Feet: Black Concrete | FloorSolid: true
[14:14:49.835] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.835] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-99} | Feet: Black Concrete | FloorSolid: true
[14:14:49.835] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.836] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-97} | Feet: Air | FloorSolid: false
[14:14:49.836] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.836] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.836] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.836] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=83, z=-97} | Feet: White Concrete | FloorSolid: true
[14:14:49.837] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=83, z=-98} | Feet: Black Concrete | FloorSolid: true
[14:14:49.837] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-80, y=83, z=-98} | Feet: Black Concrete | FloorSolid: true
[14:14:49.837] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=85, z=-99} | Feet: Air | FloorSolid: false
[14:14:49.838] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=85, z=-97} | Feet: Air | FloorSolid: false
[14:14:49.838] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-77, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.839] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-79, y=85, z=-98} | Feet: Air | FloorSolid: false
[14:14:49.839] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=83, z=-99} | Feet: White Concrete | FloorSolid: true
[14:14:49.839] [DEBUG] [PATHFINDER] Blocked at: BlockPos{x=-78, y=83, z=-97} | Feet: White Concrete | FloorSolid: true
